title,description,link,pubDate
"Moon Microscope, Solar Arrays Launch on NASA’s SpaceX Cargo Ship",SpaceX’s 26th commercial resupply mission for NASA is on its way to the International Space Station.,http://www.nasa.gov/press-release/moon-microscope-solar-arrays-launch-on-nasa-s-spacex-cargo-ship,2022-11-26 14:15:00
NASA to Share Artemis I Update with Orion at Farthest Point from Earth,"NASA will host a news conference at 5 p.m. EST Monday, Nov. 28, from the agency’s Johnson Space Center in Houston to discuss the status of the uncrewed Artemis I flight test as the Orion spacecraft reaches the mid-point of its Moon mission and its farthest distance from Earth at nearly 270,000 miles away.",http://www.nasa.gov/press-release/nasa-to-share-artemis-i-update-with-orion-at-farthest-point-from-earth,2022-11-25 17:08:00
NASA Awards Launch Services Task Order for TROPICS CubeSats Mission,"NASA has selected Rocket Lab USA Inc. of Long Beach, California, to provide the launch service for the agency’s Time-Resolved Observations of Precipitation Structure and Storm Intensity with a Constellation of Smallsats (TROPICS) mission, as part of the agency's Venture-class Acquisition of Dedicated and Rideshare (VADR) launch services contract.",http://www.nasa.gov/press-release/nasa-awards-launch-services-task-order-for-tropics-cubesats-mission,2022-11-23 08:35:00
NASA Updates Coverage for Next SpaceX Resupply Launch to Space Station,"NASA and SpaceX now are targeting 2:20 p.m. EST Saturday, Nov. 26, to launch the company’s 26th commercial resupply mission to the International Space Station.",http://www.nasa.gov/press-release/nasa-updates-coverage-for-next-spacex-resupply-launch-to-space-station,2022-11-22 17:24:00
NASA Invites Public Comment on Plans for Mars Sample Return Campaign,"NASA is seeking public comments on a draft environmental impact statement for the agency’s Mars Sample Return (MSR) campaign. Comments are due by Monday, Dec. 19.",http://www.nasa.gov/press-release/nasa-invites-public-comment-on-plans-for-mars-sample-return-campaign,2022-11-22 11:31:00
NASA Awards Contract for NASA Financial Support Services,"NASA has awarded the NASA Financial Support Services (NFSS) contract to MM Technologies LLC (MMT) of Huntsville, Alabama, to provide financial support and related services...",http://www.nasa.gov/press-release/nasa-awards-contract-for-nasa-financial-support-services,2022-11-21 15:33:00
CAPSTONE Forges New Path for NASA’s Future Artemis Moon Missions,"NASA's CAPSTONE spacecraft has completed final maneuvers to place it in its target orbit around the Moon, refining its path in the orbit it arrived to last week.",http://www.nasa.gov/press-release/capstone-forges-new-path-for-nasa-s-future-artemis-moon-missions,2022-11-21 12:39:00
NASA to Share Orion Update Today After Spacecraft Flies by Moon,"NASA will host a news conference at 5 p.m. EST today, Monday, Nov. 21, from the agency’s Johnson Space Center in Houston to discuss Orion’s lunar flyby as part of the Artemis I mission.",http://www.nasa.gov/press-release/nasa-to-share-orion-update-today-after-spacecraft-flies-by-moon,2022-11-21 09:49:00
NASA Awards Contract for Liquid Helium Acquisition at Kennedy,"NASA has selected Air Products and Chemicals, Inc of Allentown, Pennsylvania, to supply 33 million liters of liquid helium to the agency’s Kennedy Space Center in Florida.",http://www.nasa.gov/press-release/nasa-awards-contract-for-liquid-helium-acquisition-at-kennedy,2022-11-18 14:38:00
"NASA Awards Extension for Space, Earth Science Data Analysis Contract","NASA has awarded a six-month extension to ADNET Systems Inc. of Bethesda, Maryland, for the Space and Earth Science Data Analysis (SESDA IV) contract.",http://www.nasa.gov/press-release/nasa-awards-extension-for-space-earth-science-data-analysis-contract,2022-11-18 14:30:00
